uniprot	gene	inchikey	smiles
P09917	ALOX5	QAIPRVGONGVQAS-DUXPYHPUSA-N	O=C(O)/C=C/c1ccc(O)c(O)c1
P09917	ALOX5	FBSFWRHWHYMIOG-UHFFFAOYSA-N	COC(=O)c1cc(O)c(O)c(O)c1
P09917	ALOX5	SALVHVNECODMJP-GNUCVDFRSA-N	CC(C)=CCC/C(C)=C/CC/C(C)=C/CN1C(=O)c2cccc(O)c2Nc2c(O)cc(O)cc21
P09917	ALOX5	WDEABJKSGGRCQA-UHFFFAOYSA-N	CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O
P09917	ALOX5	IFWMVQUGSGWCRP-UHFFFAOYSA-N	COc1c(OC)c(OC(C)=O)c2cc(Cl)ccc2c1OC(C)=O
P09917	ALOX5	CZTSOXCSVFEFIK-UHFFFAOYSA-N	Oc1c(Cc2ccccc2)ccc2ccccc12
P09917	ALOX5	OSVNGDATIGOCLA-UHFFFAOYSA-N	COc1ncccc1-c1cnc(OC)c(C(O)c2ccc3ccccc3c2)c1OC
P09917	ALOX5	SLPWZBSWUHLVRY-UHFFFAOYSA-N	O=c1c2c(n(-c3cccc(Cl)c3)c3ncccc13)CCCC2
P09917	ALOX5	BGLQTHFKBDXBFL-OUKQBFOZSA-N	COc1cc(/C=C/C(=O)CCCCc2ccccc2)cc(OC)c1O
P09917	ALOX5	KSEJZTWORQXILM-UHFFFAOYSA-N	C[S+]([O-])c1ccc(-c2nc3n(c2-c2ccncc2)CCC3)cc1
P09917	ALOX5	QWFAMXAVDCZEBZ-UHFFFAOYSA-N	CC(C(=O)O)c1ccc2cc(OCc3ccc4ccccc4n3)ccc2c1
P09917	ALOX5	FIKVYIRIUOFLLR-UHFFFAOYSA-N	CC(CC(=O)c1ccc(-c2ccc(F)cc2F)cc1)C(=O)O
P09917	ALOX5	NZLDBNPKNBCGEN-UHFFFAOYSA-N	c1ccc2nc(COc3cccc4ccccc34)ccc2c1
P09917	ALOX5	YFIZRWPXUYFCSN-UHFFFAOYSA-N	CCCc1c(OCCCOc2cc(O)c(-c3ccc(F)cc3)cc2CC)cccc1Oc1ccccc1C(=O)O
P09917	ALOX5	HVFDPAQZZZVGNB-UHFFFAOYSA-N	COc1ccc(C2COc3cc(O)c(O)cc3C2)cc1OC
P09917	ALOX5	LMLDPXXCYIXDSG-MDZDMXLPSA-N	CC(C)(C)c1cc(/C=C/c2cccnc2)cc(C(C)(C)C)c1O
