uniprot	gene	inchikey	smiles
P41594	GRM5	BHPKEYRAZNXILG-UHFFFAOYSA-N	CCCn1c(-c2ccc(Nc3ccc(C)nc3)c(Cl)c2)nc2cccc(Cl)c21
P41594	GRM5	SISOFUCTXZKSOQ-ZHACJKMWSA-N	Cc1cccc(/C=C/c2ccccc2)n1
P41594	GRM5	BDILTKLWRMFCFO-UHFFFAOYSA-N	CCCn1c(-c2cnc(Nc3ccc(C)nc3)nc2)nc2cccc(Cl)c21
P41594	GRM5	CNNZLFXCUQLKOB-BMRADRMJSA-N	CO/N=C1/C=C(C#Cc2cccc(C)n2)CCC1
P41594	GRM5	SJBWUBBLOZYBMP-UHFFFAOYSA-N	Cc1cccc(C#Cc2cccc(C(F)(F)F)c2)n1
P41594	GRM5	RNMHRQDNECENMT-UHFFFAOYSA-N	N#Cc1cc(F)cc(S(=O)(=O)c2sc3ncc(N)cc3c2-c2cccc(F)c2)c1
P41594	GRM5	QUZLMKNNIUSREV-UHFFFAOYSA-N	O=C(c1ccc(F)cc1)N1CCc2nc(COc3ccccc3)oc2C1
P41594	GRM5	HFVLFLKYVBPGSN-HNAYVOBHSA-N	O=C(N[C@H]1CCC[C@@](O)(C#Cc2cccc(Cl)c2)C1)c1ccc(Cl)o1
P41594	GRM5	SPLDGZVGTOKENR-UZLBHIALSA-N	O=C(N[C@@H]1CCC[C@](O)(C#Cc2cccc(Cl)c2)C1)c1cccc(Cl)n1
P41594	GRM5	QTPDZKSJOIJEFW-QUCCMNQESA-N	O=C(N[C@@H]1CCC[C@](O)(C#Cc2cccc(Cl)c2)C1)c1cccnc1
P41594	GRM5	BJYYRCRVWTWSJI-UHFFFAOYSA-N	O=c1c2cnn(-c3ccccc3)c2ncn1C1CCCCCCC1
P41594	GRM5	ZKFVOZCCAXQXBU-UHFFFAOYSA-N	O=C(NC12CC3CC(CC(C3)C1)C2)c1cnc2ccccc2n1
P41594	GRM5	ASNFTDCKZKHJSW-UWTATZPHSA-N	N[C@H](Cn1oc(=O)[nH]c1=O)C(=O)O
