uniprot	gene	inchikey	smiles
P35367	HRH1	ZZVUWRFHKOJYTH-UHFFFAOYSA-N	CN(C)CCOC(c1ccccc1)c1ccccc1
P35367	HRH1	RWTNPBWLLIMQHL-UHFFFAOYSA-N	CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
P35367	HRH1	JAUOIFJMECXRGI-UHFFFAOYSA-N	Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1
P35367	HRH1	ODQWQRRAPPTVAG-BOPFTXTBSA-N	CN(C)CC/C=C1/c2ccccc2COc2ccccc21
P35367	HRH1	UUQMNUMQCIQDMZ-UHFFFAOYSA-N	CNCCc1ccccn1
P35367	HRH1	FSRSEANZUZHDHK-UHFFFAOYSA-N	CN1CCN(C2=Nc3ccc(Cl)cc3Oc3ccccc32)CC1
P35367	HRH1	FLTBEMVEAFMWDD-UHFFFAOYSA-N	CC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
P35367	HRH1	DRTSNTOTLTVTDJ-UHFFFAOYSA-N	CN(C)C1CCc2c(cccc2-c2ccccc2)C1
P35367	HRH1	JJCFRYNCJDLXIK-UHFFFAOYSA-N	CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
P35367	HRH1	UVKZSORBKUEBAZ-UHFFFAOYSA-N	CN1CCN(C(c2ccccc2)c2ccccc2)CC1
P35367	HRH1	SOYKEARSMXGVTM-HNNXBMFYSA-N	CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1
P35367	HRH1	ZDIGNSYAACHWNL-UHFFFAOYSA-N	CN(C)CCC(c1ccc(Br)cc1)c1ccccn1
P35367	HRH1	IYSYPCSSDZBWHN-UHFFFAOYSA-N	O=C1Cc2ccccc2C(=C2CCNCC2)c2ccsc21
P35367	HRH1	PMKJGGBYYNEYPA-UHFFFAOYSA-N	CC(CCCCC(=O)Nc1ccc(C(F)(F)F)cc1)NCCc1c[nH]cn1
P35367	HRH1	CBEQULMOCCWAQT-WOJGMQOQSA-N	Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
P35367	HRH1	IKDSTUUOAQZAFI-UHFFFAOYSA-N	Cn1c(=O)c2c(ncn2CCN2CCN(C(c3ccccc3)c3ccccc3)CC2)n(C)c1=O
P35367	HRH1	JJKMOFKIYHXREY-JOCHJYFZSA-N	COCCCC(=O)NCCN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O
P35367	HRH1	NTYJJOPFIAHURM-UHFFFAOYSA-N	NCCc1cnc[nH]1
P35367	HRH1	BCGWQEUPMDMJNV-UHFFFAOYSA-N	CN(C)CCCN1c2ccccc2CCc2ccccc21
P35367	HRH1	JCBQCKFFSPGEDY-UHFFFAOYSA-N	c1ccc2c(c1)CCc1ccccc1N2C1CN2CCC1CC2
