uniprot	gene	inchikey	smiles
O60882	MMP20	OCSMOTCMPXTDND-OUAUKWLOSA-N	CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C
O60882	MMP20	ROSNVSQTEGHUKU-UHFFFAOYSA-N	O=C(NO)C1(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1
O60882	MMP20	GEWCGOGVWLUKRX-LOACHALJSA-N	CC(C)C[C@H](NC(=O)C(CS)CCc1ccccc1)C(N)=O
O60882	MMP20	USNOFOHMTMYBSM-QWAKEFERSA-N	CC(C)C[C@H](NC(=O)C(CS)CCc1ccccc1)C(=O)Nc1ccccc1
O60882	MMP20	RKWXKADYTDWZIJ-VIFPVBQESA-N	CNC(=O)[C@H](Cc1ccccc1)NC(=O)Nc1n[nH]c(=S)s1
O60882	MMP20	NVYQUIXKTUPQLY-VIFPVBQESA-N	CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)Nc1nnc(S)s1
O60882	MMP20	MJDJFIONJBJENE-UHFFFAOYSA-N	N#Cc1ccc(-c2ccc(OCCN(O)C=O)cc2)cc1
O60882	MMP20	YKPYIPVDTNNYCN-INIZCTEOSA-N	CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO
O60882	MMP20	XFILPEOLDIKJHX-QYZOEREBSA-N	CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc1cccs1)C(=O)NO
O60882	MMP20	BSIZUMJRKYHEBR-QGZVFWFLSA-N	COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1
